antecedents,consequents,antecedent support,support,confidence,lift
PAO FRANCES MEMBERS MARK,SACOLA PLASTICA MM BRANCA,0.06903153559946537,0.017592023985839686,0.2548403976975406,1.0608641698437618
SACOLA PLASTICA MM BRANCA,PAO FRANCES MEMBERS MARK,0.24021962937542896,0.017592023985839686,0.07323308270676693,1.060864169843762
PH NEVE FT 20M L32P28UN,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.06969981577141206,0.016923743813893003,0.24280901788027986,2.292524570934443
PAPEL TOALHA KITCHEN JUMB FD C360FL,PH NEVE FT 20M L32P28UN,0.1059133764404147,0.016923743813893003,0.15978854024556616,2.292524570934443
PH PERSONAL VIP FD 40 ROLOSX30M,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.06617779864899036,0.016183217136871004,0.2445414847161572,2.3088819650059276
PAPEL TOALHA KITCHEN JUMB FD C360FL,PH PERSONAL VIP FD 40 ROLOSX30M,0.1059133764404147,0.016183217136871004,0.15279672578444747,2.3088819650059276
REQUEIJ CREMOSO 500G MEMBERS MARK,SACOLA PLASTICA MM BRANCA,0.05790557381786656,0.013943575479536178,0.24079850280723644,1.00240976740041
SACOLA PLASTICA MM BRANCA,REQUEIJ CREMOSO 500G MEMBERS MARK,0.24021962937542896,0.013943575479536178,0.05804511278195489,1.00240976740041
MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.07739406856193332,0.013275295307589495,0.17152858809801633,1.6195177027003362
PAPEL TOALHA KITCHEN JUMB FD C360FL,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,0.1059133764404147,0.013275295307589495,0.12534106412005458,1.6195177027003365
MANTEIGA COM SAL MEMBERS MARK 500G,SACOLA PLASTICA MM BRANCA,0.04370913557056677,0.011433009428168913,0.26157024793388434,1.0888795749704843
SACOLA PLASTICA MM BRANCA,MANTEIGA COM SAL MEMBERS MARK 500G,0.24021962937542896,0.011433009428168913,0.047593984962406015,1.088879574970484
OMO LAVA ROUPAS LAVAG PERFEITA 5LT,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.05479897409962793,0.011216269912942962,0.20468029004614371,1.932525398822441
PAPEL TOALHA KITCHEN JUMB FD C360FL,OMO LAVA ROUPAS LAVAG PERFEITA 5LT,0.1059133764404147,0.011216269912942962,0.10590040927694407,1.9325253988224407
LIMPOL 6X500ML DETERG LIQ NATURAL,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.044883141278040675,0.01049380486218979,0.23380281690140842,2.207490920969198
PAPEL TOALHA KITCHEN JUMB FD C360FL,LIMPOL 6X500ML DETERG LIQ NATURAL,0.1059133764404147,0.01049380486218979,0.09907912687585266,2.2074909209691986
BISC CH PETIT BEURRE GRIESSON 150G,SACOLA PLASTICA MM BRANCA,0.03863381858902576,0.00935592240725355,0.2421692379616643,1.0081159420289856
SACOLA PLASTICA MM BRANCA,BISC CH PETIT BEURRE GRIESSON 150G,0.24021962937542896,0.00935592240725355,0.03894736842105263,1.0081159420289856
SUPER CANDIDA 5LT AGUA SANITARIA,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.03578008163855074,0.008904381750532818,0.248864209994952,2.3496957453240985
PAPEL TOALHA KITCHEN JUMB FD C360FL,SUPER CANDIDA 5LT AGUA SANITARIA,0.1059133764404147,0.008904381750532818,0.08407230559345157,2.3496957453240985
